3510KFGA 投注内容：5,5,578 玩法：10 元角分：2 倍数：1 注数：3 时间：01-10 16:59:14

3610TXXT 投注内容：8,56789,9 玩法：10 元角分：2 倍数：1 注数：5 时间：04-07 14:19:48

3610KM3Z 投注内容：8,7,13579 玩法：10 元角分：2 倍数：1 注数：5 时间：04-07 14:36:53

3642GW86 投注内容：单,单 玩法：42 元角分：2 倍数：1 注数：1 时间：04-10 21:42:13

36105GJX 投注内容：4,4,5 玩法：10 元角分：2 倍数：1 注数：1 时间：04-15 02:21:03

36101X4U 投注内容：6,6,6 玩法：10 元角分：2 倍数：1 注数：1 时间：04-17 22:31:23

3610R1DL 投注内容：3,4,4 玩法：10 元角分：2 倍数：1 注数：1 时间：04-17 23:20:43

3610Q9OR 投注内容：4,3,3 玩法：10 元角分：2 倍数：1 注数：1 时间：04-17 23:58:39

3610UI36 投注内容：3,4,3 玩法：10 元角分：2 倍数：1 注数：1 时间：04-17 23:59:04

3610501Z 投注内容：5,2,5 玩法：10 元角分：2 倍数：1 注数：1 时间：04-17 23:59:41

1251IIDS 投注内容：7 玩法：251 元角分：2 倍数：1 注数：54 时间：04-23 15:43:47

34249YKV 投注内容：8 玩法：249 元角分：2 倍数：1 注数：9 时间：04-23 15:45:51

36249U4O 投注内容：7 玩法：249 元角分：2 倍数：1 注数：9 时间：04-23 15:46:27

36249NOP 投注内容：0 玩法：249 元角分：2 倍数：1 注数：9 时间：04-23 15:48:10

5249WKHV 投注内容：7 玩法：249 元角分：2 倍数：1 注数：9 时间：04-23 16:01:54

362497OK 投注内容：8 玩法：249 元角分：2 倍数：1 注数：9 时间：04-23 17:02:13

362498D9 投注内容：8 玩法：249 元角分：2 倍数：1 注数：9 时间：04-23 20:33:20

3637QTB1 投注内容：0123456789,0123456789,0123456789,0123456789,0123456789 玩法：37 元角分：2 倍数：1 注数：50 时间：04-23 20:39:44

3631OYQS 投注内容：01234 玩法：31 元角分：2 倍数：1 注数：10 时间：04-23 20:41:03

1253WI0T 投注内容：13579 玩法：253 元角分：2 倍数：1 注数：1 时间：04-23 23:54:49

36270K4V 投注内容：01234,02468,01234,0123456789,01234 玩法：2 元角分：2 倍数：1 注数：6250 时间：04-24 19:45:28

3612XUM1 投注内容：13579,13579,02468 玩法：12 元角分：2 倍数：1 注数：125 时间：04-24 20:02:35

36249Q4F 投注内容：0 玩法：249 元角分：2 倍数：1 注数：9 时间：04-24 20:07:15

362492DO 投注内容：0 玩法：249 元角分：2 倍数：1 注数：9 时间：04-24 20:35:19

3624928E 投注内容：0 玩法：249 元角分：2 倍数：1 注数：9 时间：04-24 20:38:12

36249LBX 投注内容：6 玩法：249 元角分：2 倍数：1 注数：9 时间：04-24 20:45:29

36251EFD 投注内容：9 玩法：251 元角分：2 倍数：1 注数：54 时间：04-24 21:42:30

362533NS 投注内容：0123456789 玩法：253 元角分：2 倍数：1 注数：252 时间：04-24 21:43:44

362504LP 投注内容：0 玩法：250 元角分：2 倍数：1 注数：9 时间：04-24 21:44:55

3625036Q 投注内容：9 玩法：250 元角分：2 倍数：1 注数：9 时间：04-24 21:53:33

36259A3Q 投注内容：0123456789 玩法：259 元角分：2 倍数：1 注数：10 时间：04-24 21:58:45

36259Z8Q 投注内容：02468 玩法：259 元角分：2 倍数：1 注数：5 时间：04-24 22:02:46

36259UIB 投注内容：0123456789 玩法：259 元角分：2 倍数：1 注数：10 时间：04-24 22:02:50

362598YI 投注内容：0123456789 玩法：259 元角分：2 倍数：1 注数：10 时间：04-24 22:07:22

36260RV0 投注内容：02468 玩法：260 元角分：2 倍数：1 注数：5 时间：04-24 22:07:30

41128V6T 投注内容：0123456789,0123456789,0123456789 玩法：12 元角分：2 倍数：1 注数：1000 时间：04-26 22:02:00

16539TO7 投注内容：06 07 08 09 10 11,11 玩法：53 元角分：2 倍数：1 注数：6 时间：04-26 22:42:37

3625EKT3 投注内容：0123456789,0123456789 玩法：25 元角分：2 倍数：1 注数：100 时间：04-27 19:46:31

3623UEF9 投注内容：123 玩法：23 元角分：2 倍数：1 注数：1 时间：04-29 19:37:56

20232VTT 投注内容：大小单双 玩法：232 元角分：2 倍数：1 注数：4 时间：06-04 09:54:41

